area1,area2,area3,area4,Label
4.2413964,5.6590385,0,7.1046143,1
4.0150084,5.322233,0,6.7960396,1
2.990016,4.0169606,0,5.66167,1
3.604537,4.8294168,0,6.3638444,1
3.9343526,5.239855,0,6.7179027,1
3.5189548,4.6548367,0,6.2423544,1
3.8509953,5.017191,0,6.6315336,1
2.961346,3.8945215,0,5.6108103,1
3.6060522,4.7272215,0,6.323363,1
3.6043344,4.7227244,0,6.334198,1
3.9253914,5.13398,0,6.708168,1
3.389332,4.4755197,0,6.1173983,1
3.617531,4.7332706,0,6.392214,1
3.418366,4.4666567,0,6.172573,1
3.3059604,4.321873,0,6.0461125,1
3.6993597,4.9935308,0,6.449053,1
3.687189,4.995361,0,6.436719,1
3.7487464,5.0950313,0,6.5045223,1
3.185197,4.341857,0,5.8640966,1
3.0381432,4.1445136,0,5.6910963,1
1.8487234,6.2391753,0,4.9655747,1
1.8830217,6.7561836,0,4.9745936,1
1.7536349,5.647459,0,4.825932,1
1.8628627,6.2233167,0,5.0131326,1
1.809093,6.15709,0,4.7398987,1
1.8334824,6.366354,0,4.796761,1
2.3748832,8.9507675,0,5.9030914,1
2.036075,7.595862,0,5.2224317,1
1.7962036,6.5261707,0,4.724658,1
2.1036713,7.7723103,0,5.3361588,1
2.0971963,7.7143035,0,5.3085213,1
1.7996119,6.4052434,0,4.6725492,1
1.9636587,7.1222725,0,5.021429,1
2.1655414,8.045158,0,5.466031,1
1.8409716,6.589807,0,4.7603617,1
1.9302362,7.0227923,0,4.9697833,1
2.0483978,7.744017,0,5.509776,1
1.7339455,5.707975,0,4.93754,1
1.8846322,6.452358,0,5.124773,1
2.4281545,9.513749,0,6.1344385,1
2.331191,8.853815,0,5.8524656,1
1.8640357,6.616374,0,4.911799,1
1.9106804,6.880163,0,5.0252986,1
2.2059908,8.464113,0,5.629648,1
2.0220764,7.4292474,0,5.1591425,1
2.1751745,8.072261,0,5.480614,1
1.7331485,5.8491826,0,4.5416718,1
2.009249,7.289624,0,5.1052775,1
1.9092952,6.9171667,0,4.916919,1
2.140884,7.886785,0,5.3999515,1
2.025116,7.6591787,0,5.25188,1
2.1649737,8.021495,0,5.4656525,1
